"('diapers', 0.011430031079372429)"
"('newborn poop', 0.0009269466512076148)"
"('matter', 0.0009236584929159959)"
"('babies dirty', 0.0009216763594391533)"
"('wipe', 0.0009208987607221935)"
"('works well', 0.0009168855541683849)"
"('twice', 0.0009143653085228325)"
"('use first', 0.0009132042085475252)"
"('first use', 0.0009132042085475252)"
"('yes take', 0.00091183467928587)"
"('etc', 0.0009114654739122088)"
"('use one', 0.0009095817338126866)"
"('mechanism works well', 0.0009080679849099446)"
"('nothing worse', 0.0009073970569283473)"
"('first box', 0.0009056718503365025)"
"('steps inside', 0.0008996631638916648)"
"('chute', 0.0008967750731486313)"
"('chute mechanism', 0.0008936039597708478)"
"('hands anyway', 0.0008933797940965103)"
"('mechanism', 0.0008904328463930645)"
"('getting inside', 0.0008899847987920064)"
"('plus side', 0.0008841578827720317)"
"('people recommend', 0.0008835720624562097)"
"('reason', 0.0008835392300842012)"
"('friends complain', 0.0008832116372391042)"
"('mechanism works', 0.0008808020758343264)"
"('stink trouble', 0.0008801922110803207)"
"('formula poop', 0.0008788374702510592)"
"('friends word', 0.0008784255255440447)"
"('great things', 0.0008768700648386483)"
"('friends houses', 0.000876543753048504)"
"('back inside', 0.0008765397610667324)"
"('solution anyone', 0.0008762058518026985)"
"('get use', 0.0008749427192478827)"
"('oder problems', 0.0008745841660744634)"
"('fits inside', 0.0008745507336527079)"
"('bit dirty', 0.0008727240847653148)"
"('stars instead', 0.0008722734886219509)"
"('works', 0.0008711713052755883)"
"('drum gets stuck', 0.0008711637415932649)"
"('job well', 0.0008686207859912081)"
"('first gift', 0.0008673603181677703)"
"('foam seal', 0.0008654276048872731)"
"('first place', 0.0008645574749008284)"
"('edge inside', 0.0008640621542253484)"
"('weeks worth', 0.0008620257821924946)"
"('one place', 0.0008609350001659898)"
"('chute hole', 0.0008602086464615406)"
"('people still use', 0.0008591427056667797)"
"('friend recommend', 0.0008579166673806898)"
"('friends see', 0.0008575459772834062)"
"('rooms hold smells longer', 0.0008563538292424867)"
"('soda box', 0.000855752817874717)"
"('love everything', 0.0008541658256727338)"
"('read great reviews', 0.0008523109847669092)"
"('drop', 0.0008465153014759918)"
"('kitchen use', 0.0008402601849767059)"
"('cost buying', 0.0008394337783768518)"
"('unit holds', 0.0008377515688029744)"
"('older kids love', 0.0008374946550543686)"
"('couple weeks', 0.000836750873775307)"
"('anyone spend', 0.0008357131544980266)"
"('drop hole', 0.0008350787606252207)"
"('work everyone', 0.0008341780414104921)"
"('first reason', 0.0008307815622018214)"
"('child gets', 0.0008287555420812447)"
"('convenient one hand toss system', 0.0008283201978362116)"
"('one reason', 0.0008271590874669828)"
"('piston part', 0.0008240268360332607)"
"('hole', 0.0008236422197744498)"
"('others purchase', 0.0008231674922577232)"
"('work well', 0.0008222205572556316)"
"('works one', 0.0008209751250626764)"
"('one works', 0.0008209751250626764)"
"('registry gift', 0.0008208805345698948)"
"('first couple weeks', 0.0008171752139566852)"
"('life easy', 0.0008157380262603947)"
"('nothing seems', 0.0008140187065939592)"
"('believe nothing', 0.0008103939870710583)"
"('drop one', 0.0008086471231628781)"
"('pee stink', 0.0008083176624326853)"
"('price', 0.000806175888427822)"
"('use cheap', 0.0008047308783926257)"
"('good people', 0.0008011921305385972)"
"('kitchen garbage', 0.0008010445143892149)"
"('lot', 0.0008009182102314726)"
"('works ok', 0.0007994561522448627)"
"('size garbage', 0.0007991470328883913)"
"('easy items', 0.0007990100888321118)"
"('lid broke', 0.0007974844124538174)"
"('use upstairs', 0.0007965972197979591)"
"('design', 0.0007957895885418791)"
"('putting things', 0.0007949376958941531)"
"('problems changing', 0.0007933673348851616)"
"('child opening', 0.000792866290695182)"
"('things got', 0.0007918948651940651)"
"('course', 0.0007902622613695689)"
"('seems fine', 0.0007888945606097273)"
"('friend got', 0.0007857017878324037)"
"('stink much', 0.0007834162639252998)"
"('much stink', 0.0007834162639252998)"
"('older child', 0.0007832056057086024)"
"('twisting mechanism', 0.0007824124323366097)"
"('stink like', 0.0007822753284213495)"
"('use cloth', 0.0007822508389583767)"
"('people complain', 0.0007821878669818568)"
"('foam', 0.0007818597712727128)"
"('good things', 0.0007817298128247387)"
"('na stink', 0.0007812278491949657)"
"('great plus', 0.0007807973715736116)"
"('friend got one', 0.0007807275068381906)"
"('use downstairs', 0.0007806140768779631)"
"('start solids', 0.00078013945751157)"
"('takes solids', 0.0007799198235920574)"
"('child starts', 0.0007781158610745721)"
"('first', 0.0007780238943194417)"
"('reading everyone', 0.0007780054582264672)"
"('job', 0.0007746417689212348)"
"('stink still', 0.0007744606738862628)"
"('still stink', 0.0007744606738862628)"
"('first one', 0.000774401419584603)"
"('one first', 0.000774401419584603)"
"('stink free', 0.00077435040353018)"
"('nothing seals', 0.0007724685889083472)"
"('nothing gets', 0.0007723979520191473)"
"('people like', 0.000772336451647452)"
"('youngest child', 0.0007709957851182298)"
"('one', 0.0007707789448497645)"
"('nothing got', 0.0007703843291371553)"
"('keeps', 0.0007700993908652646)"
"('plunger', 0.000769177139132405)"
"('home instead', 0.000768542356278705)"
"('poop gets', 0.0007671062750247302)"
"('poop got', 0.0007650926521427382)"
"('toys etc', 0.0007635142322791502)"
"('poop stinks', 0.0007617433604932997)"
"('good work people', 0.0007614085241757588)"
"('poop regardless', 0.0007601251560448609)"
"('toddler thought', 0.0007582107739968552)"
"('plus alot', 0.0007570975480012478)"
"('see people', 0.0007565222070261588)"
"('starts solids', 0.0007561003090206603)"
"('wipe everything', 0.0007560628904662739)"
"('let everyone', 0.0007553291994253373)"
"('got home', 0.0007545097780624333)"
"('garage', 0.000754089795195826)"
"('buying one', 0.0007535865750556655)"
"('weeks right', 0.0007533823463836429)"
"('use clorox wipes', 0.0007501793590815748)"
"('problems opening', 0.0007497455143799019)"
"('older babies', 0.0007467685571736042)"
"('garbage night', 0.0007465775998988942)"
"('poop sausage', 0.0007457728131486346)"
"('problems like', 0.000744600411623501)"
"('cloth wipes', 0.0007437365940665751)"
"('change mine twice', 0.0007425325075215211)"
"('easy process', 0.0007417866797495675)"
"('store right', 0.0007407775468807651)"
"('grandparents home', 0.0007403529931892746)"
"('first get', 0.0007397624050197991)"
"('cause problems', 0.0007364720707418296)"
"('buying', 0.0007363942052615664)"
"('get one', 0.0007361399302849605)"
"('disposal unit', 0.0007358928205357051)"
"('went home', 0.0007357916466080728)"
"('getting poop', 0.0007355158838236402)"
"('lid everytime', 0.0007331182116793004)"
"('twins', 0.0007330362831731584)"
"('babies get older', 0.0007316793433557884)"
"('nothing like', 0.0007313635978766838)"
"('hassle', 0.0007310249758622222)"
"('competition hands', 0.0007289319290400243)"
"('couple times', 0.0007277418301208802)"
"('ok', 0.000727740999214137)"
"('home daycare', 0.0007272964963352971)"
"('much poop', 0.000727212856386217)"
"('stinky poop', 0.0007270175947888732)"
"('foam seal broke', 0.0007264917025980566)"
"('like poop', 0.0007260719208822667)"
"('easy operation', 0.0007258904753882964)"
"('dirty wipes', 0.0007243131678092043)"
"('bit awkward', 0.0007231638353051026)"
"('still poop', 0.00071825726634718)"
"('bit difficult', 0.0007182544415418615)"
"('lid outside', 0.0007175343976205252)"
"('odorless seal', 0.0007172990274159382)"
"('part gets', 0.0007153968441755261)"
"('system', 0.0007149290785626571)"
"('poop however', 0.0007136030729428507)"
"('wife', 0.0007132969794241553)"
"('love mine', 0.0007122788006763813)"
"('easy changing', 0.0007105500164579731)"
"('super easy', 0.0007100609312828088)"
"('first floor', 0.0007087397069084199)"
"('stick change', 0.0007064058691225498)"
"('toddler gets', 0.0007039853909500367)"
"('bit much', 0.0007034728002338947)"
"('first size', 0.0007031823892477988)"
"('get', 0.0007015009157201566)"
"('awesome unit', 0.0007012163390772901)"
"('someone', 0.0006999399277884577)"
"('easy disposal', 0.0006993004224364673)"
"('dirty wipe', 0.0006990845316742983)"
"('kids get older', 0.0006989600832493832)"
"('seal broke', 0.0006988076682607284)"
"('still fine', 0.0006984247973573651)"
"('bit older', 0.0006978162824997656)"
"('older kids', 0.0006976896670139963)"
"('couple others', 0.0006962959593138176)"
"('flip right', 0.0006961965772970534)"
"('one simple flip', 0.0006930773357761978)"
"('hands free', 0.0006928748926418403)"
"('free hands', 0.0006928748926418403)"
"('well worth', 0.0006920598175917291)"
"('us store', 0.0006909559470669894)"
"('garbage liners', 0.0006896635821745507)"
"('easy decision', 0.0006891943837395607)"
"('toddler loves', 0.0006885340347378152)"
"('use glad', 0.0006880763510243779)"
"('bathroom garbage', 0.0006859527007776218)"
"('buy one', 0.0006858025766722747)"
"('registry', 0.0006850643271236909)"
"('stuff starts getting stuck', 0.0006846289104202661)"
"('course loose wipes', 0.0006842010796078714)"
"('holds seal', 0.0006821167280361719)"
"('work', 0.0006818413114500818)"
"('toddler ca', 0.0006815757744471897)"
"('champs lid', 0.0006814711575256645)"
"('one side', 0.0006809888458061883)"
"('cylinder mechanism', 0.0006789867776550777)"
"('boys love', 0.0006783965083704275)"
"('soda', 0.0006781858293958708)"
"('reason parents', 0.0006781496711985679)"
"('one works great', 0.0006754759914970416)"
"('twisting', 0.0006743920182801548)"
"('toddler getting', 0.0006723949997489467)"
"('opinion well worth', 0.0006719552584869799)"
"('great gift', 0.0006705872331909355)"
"('use costco', 0.0006701968721917475)"
"('mechanism broke', 0.000669526372206344)"
"('great place', 0.0006677843899239935)"
"('cats love', 0.0006668756346496725)"
"('cheap one', 0.0006659280894297035)"
"('great idea', 0.0006623020425200957)"
"('flip it.i', 0.0006620370257215974)"
"('everyone gets one', 0.0006586160956870854)"
"('flip back', 0.0006583219535386972)"
"('one upstairs', 0.000657794430835037)"
"('system works great', 0.0006568593694013391)"
"('review', 0.000656625718771322)"
"('need', 0.0006566202509916767)"
"('change mine', 0.0006566161070208653)"
"('nails', 0.000655469552715618)"
"('simple flip', 0.0006542265312394145)"
"('big plus', 0.0006535645520876086)"
"('shower gift', 0.0006534807499747361)"
"('drum mechanism', 0.0006520201511070486)"
"('still works well', 0.0006515425539407529)"
"('first night', 0.0006506129562583018)"
"('try changing', 0.0006463719113502449)"
"('get everything', 0.0006463639679652554)"
"('wipes get caught', 0.0006463031750334323)"
"('company', 0.0006453973148786497)"
"('mom', 0.0006449427877223189)"
"('use disposables', 0.0006448168305684406)"
"('complaints', 0.0006445401643127348)"
"('one refill', 0.000642935645058688)"
"('one downstairs', 0.0006418112879150409)"
"('cost alot', 0.0006397757143565908)"
"('try putting', 0.000639668550049144)"
"('use clorox', 0.0006395910221263595)"
"('floor', 0.0006394555194973983)"
"('mother', 0.0006392104955010864)"
"('lid back', 0.0006374163199379362)"
"('empty mine', 0.0006363456170265932)"
"('use gets', 0.000633469546808099)"
"('hands getting dirty', 0.0006325859545250565)"
"('kitchen', 0.0006321358471778032)"
"('opinion', 0.0006317461402774814)"
"('loose wipes', 0.0006311704887270227)"
"('foam liner', 0.0006295404497003916)"
"('garbage outside', 0.0006293365249768328)"
"('outside garbage', 0.0006293365249768328)"
"('size', 0.0006283408841761559)"
"('works great', 0.0006278245148206803)"
"('use lemon', 0.0006278019078307198)"
"('times difficult', 0.0006264223305666776)"
"('mess gets', 0.0006263763124673307)"
"('lid locks', 0.0006255052158713398)"
"('purchase', 0.0006247130811757128)"
"('cost half', 0.0006245796746821584)"
"('dirty one', 0.0006240246237380838)"
"('point', 0.000621748846240433)"
"('well save', 0.0006215731859941698)"
"('good use', 0.0006212908715567808)"
"('still love', 0.000618980592310301)"
"('contents well', 0.0006188554830989677)"
"('children', 0.0006185121191514923)"
"('system anyway', 0.0006182874471226602)"
"('well thats', 0.0006172797534111234)"
"('toys', 0.0006155629906460915)"
"('foam broke', 0.0006152398346461682)"
"('refill system', 0.0006150107119151343)"
"('container', 0.0006142616117472602)"
"('bedroom', 0.0006104579069702456)"
"('one broke', 0.000609699421434694)"
"('cheap store bought brand', 0.0006093760342753879)"
"('plunger broke', 0.0006088985185760142)"
"('use plain', 0.0006084870011534094)"
"('holds lot', 0.0006080781139009917)"
"('try getting', 0.0006070489510299578)"
"('issue', 0.0006066336937553416)"
"('twist mechanism', 0.0006025606777817315)"
"('everyone gets', 0.0006025346711057459)"
"('clorox wipes', 0.0006010767772345578)"
"('buy', 0.000600826208494785)"
"('gift wrap', 0.0005979509706188276)"
"('mechanism seems', 0.0005961144631916389)"
"('great price', 0.0005953268063967971)"
"('get worse', 0.0005950268481895731)"
"('child gets older', 0.0005949885940859315)"
"('first items', 0.0005944818740733512)"
"('sides', 0.0005944265447866063)"
"('use factor', 0.0005942172904425687)"
"('get stuff', 0.0005930191810086977)"
"('works perfect', 0.0005926422337399804)"
"('one trick', 0.0005921903643617307)"
"('everything', 0.0005912270202103543)"
"('side', 0.0005911987467626122)"
"('garbage disposal', 0.0005907368513182993)"
"('seals well', 0.0005906478238400853)"
"('turn mechanism', 0.0005905976420300585)"
"('great design', 0.0005901336564538256)"
"('keeps everything nice', 0.0005896759620697835)"
"('garbage pails', 0.0005896600746559022)"
"('one reviewer', 0.0005894491392509835)"
"('get dirty', 0.0005893856091732798)"
"('review anyway', 0.0005891357672269926)"
"('stick one', 0.0005889057196353915)"
"('others complain', 0.0005889052982821027)"
"('nasty mess', 0.0005881656456661378)"
"('helps', 0.0005877974108080083)"
"('hold twice', 0.0005863534754085623)"
"('review products', 0.000585288474699042)"
"('still use', 0.0005846205381305488)"
"('floor space', 0.0005838224211445198)"
"('couple design', 0.0005833798019148904)"
"('newborn size', 0.0005832881036912571)"
"('size newborn', 0.0005832881036912571)"
"('first kid', 0.0005822326523328155)"
"('use plastic', 0.0005821139870117278)"
"('big box', 0.0005816659458736647)"
"('buy cheap', 0.0005809517212522139)"
"('diet change', 0.0005804132002985401)"
"('use ruffies', 0.000579656839121666)"
"('great job', 0.0005795597466435034)"
"('worth buying', 0.0005789570186919217)"
"('toss wipes', 0.0005784509445325354)"
"('longer work', 0.0005783450154802733)"
"('litter box', 0.0005780074375654255)"
"('upstairs bedroom', 0.0005776339118952775)"
"('kitchen anyway', 0.0005768908314302333)"
"('use wrong', 0.0005765579739221508)"
"('clorox wipe', 0.0005758481410996518)"
"('one uses', 0.0005753675853558649)"
"('uses one', 0.0005753675853558649)"
"('chute area', 0.0005752488696799049)"
"('first couple', 0.0005744969548036718)"
"('buying liners', 0.0005728840940050206)"
"('good seal', 0.000571596329419893)"
"('garbage everyday', 0.0005711730197810907)"
"('one couple', 0.0005708744800688331)"
"('reading', 0.0005694961450820321)"
"('good idea', 0.0005671617905061861)"
"('wife got one', 0.0005662010831168418)"
"('guess people must', 0.0005652306608456233)"
"('sister', 0.0005649895535444788)"
"('first shower', 0.0005641443261264075)"
"('think twice', 0.0005640027975789335)"
"('great shower gift', 0.0005638130747717481)"
"('dont empty', 0.0005619457865373875)"
"('like everyone', 0.0005615003169632824)"
"('cheap', 0.0005610772340096427)"
"('one star', 0.000560719407839365)"
"('address change', 0.0005590748291687213)"
"('buy refill', 0.0005579592768811981)"
"('poop gets much', 0.0005576600945376744)"
"('must change', 0.0005562506429457569)"
"('one complaint', 0.0005542511908022881)"
"('one feature', 0.0005540341971378161)"
"('buying refill liners', 0.0005536201777592175)"
"('sons bathroom stink like', 0.0005525592214866999)"
"('first thought', 0.000552514615626834)"
"('disposal mechanism', 0.0005509766837145183)"
"('well find', 0.0005496479879406777)"
"('garbage back', 0.0005492184472942438)"
"('safety first', 0.0005490949093784556)"
"('one thought', 0.0005488921408919953)"
"('recommend buying', 0.0005476756447173721)"
"('cheap roll', 0.000545618603309845)"
"('upstairs', 0.0005448099168203095)"
"('container longer', 0.0005445551656288625)"
"('place like', 0.0005437884590189387)"
"('plastic garbage', 0.0005428983164242366)"
"('canister mechanism', 0.0005420370249321167)"
"('difference', 0.0005408415505673536)"
"('keep things simple', 0.0005392544003353616)"
"('opening latch', 0.00053922349662755)"
"('good reason', 0.000538868225211077)"
"('one hint', 0.0005386908227758788)"
"('newborn', 0.0005382353232063585)"
"('stench get', 0.0005367181201666035)"
"('gift ai', 0.0005361727029985255)"
"('must empty', 0.0005359801529514847)"
"('seal free', 0.0005348157256375784)"
"('us well', 0.0005335947819691017)"
"('outside first', 0.0005333718813362405)"
"('older kids regardless', 0.0005333238889696144)"
"('work great', 0.000533159517907927)"
"('hole instead', 0.0005331173506417993)"
"('works good', 0.0005326842628067706)"
"('plastic seal', 0.00053241944487484)"
"('nice nails', 0.000531585513924675)"
"('one turn', 0.0005307706912584084)"
"('cost benefit', 0.0005302778551890897)"
"('roll', 0.0005301599726100473)"
"('amazon first', 0.0005283796044561347)"
"('space', 0.0005281893227916414)"
"('one bedroom apartment', 0.0005267647559021492)"
"('must get one', 0.0005263339675457845)"
"('bought one big box', 0.0005263297515333698)"
"('water', 0.0005258376898368017)"
"('couple clorox wipes', 0.0005243745232523391)"
"('let', 0.0005241436274797719)"
"('beginning', 0.0005236339553290389)"
"('night', 0.0005232020181971619)"
"('night anyway', 0.0005224239169399126)"
"('anyway', 0.0005216458156826633)"
"('one recommendation', 0.0005213094414163102)"
"('helps control', 0.0005210522279081519)"
"('kitchen liners', 0.0005207549149631391)"
"('side broke', 0.0005199093223911179)"
"('opening mechanism', 0.0005186044572307643)"
"('one end', 0.0005184284878148987)"
"('caught one', 0.0005184157606189496)"
"('cloth', 0.0005161171551411448)"
"('difficult lid contraption', 0.0005159233372799874)"
"('need ease', 0.000515305836246129)"
"('refill', 0.0005150923452676114)"
"('store like smart', 0.0005146571354685715)"
"('buy brand', 0.000514361404396676)"
"('products', 0.0005139512306267622)"
"('amp', 0.0005128475307903947)"
"('downstairs', 0.0005128436309803175)"
"('plunger area', 0.0005114499026717918)"
"('one suggestion', 0.0005107663769587753)"
"('one arm', 0.0005101988426342072)"
"('one instead', 0.0005066857131794566)"
"('throw', 0.000506511142393753)"
"('great size', 0.000506409304270964)"
"('buy liners', 0.0005051000956216299)"
"('cheap ones', 0.000504950564757729)"
"('great purchase', 0.0005045954027707425)"
"('works like', 0.0005038285839156253)"
"('star review', 0.0005036427948001438)"
"('one morning', 0.0005035669853856769)"
"('changing one', 0.0005023993269643739)"
"('na buy one', 0.0005019986858158146)"
"('simple reason', 0.0005019160492367484)"
"('foam seals', 0.000500277807945851)"
"('good price', 0.0005001865543828874)"
"('flipping mechanism', 0.0004987080952292891)"
"('garage instead', 0.0004983411383524874)"
"('fingers', 0.0004979126998736941)"
"('foam ring', 0.0004968172003079896)"
"('first got', 0.0004962756096980236)"
"('first go', 0.0004960899768456051)"
"('still works', 0.0004960139293805387)"
"('one crib', 0.0004957400659874143)"
"('first set', 0.0004953676844676313)"
"('good design', 0.0004949934044399159)"
"('one gets', 0.0004946667578451769)"
"('one insert', 0.0004936912703392051)"
"('newborn ones', 0.0004935296093560868)"
"('garbage shoot outside', 0.0004931961546297319)"
"('one got', 0.000492653134963185)"
"('got one', 0.000492653134963185)"
"('great buy', 0.0004926519664302786)"
"('price ca', 0.0004899556131313587)"
"('market', 0.0004886866934415855)"
"('worse', 0.0004885527806589894)"
"('one right', 0.000487505952677169)"
"('one email', 0.0004869091162700074)"
"('worse stuff', 0.0004865451134781141)"
"('nail', 0.00048598300030843074)"
"('odorless', 0.0004856026163300432)"
"('twisting process', 0.00048544252697116364)"
"('stuff', 0.0004845374462972388)"
"('good job', 0.0004844194946295938)"
"('get caught', 0.00048377674605414565)"
"('gaskets get', 0.00048338389978477554)"
"('design makes', 0.00048336767858919033)"
"('one today', 0.00048286655847128043)"
"('good one', 0.0004824880825938586)"
"('foam gasket', 0.00048195647342868424)"
"('means putting dirty wipes', 0.00048178178724341003)"
"('convenience', 0.000481642236192542)"
"('one person', 0.0004809454032109983)"
"('glad kitchen', 0.00047995201322547515)"
"('take one', 0.0004787239166138428)"
"('name', 0.0004787144666518326)"
"('sister-in-law', 0.00047782128770534356)"
"('wipes takes care', 0.00047759357305474613)"
"('dirty', 0.0004772703026264031)"
"('liner', 0.0004772211281280704)"
"('longer', 0.00047484871951046476)"
"('brand anyway', 0.0004747712079906152)"
"('gallon price', 0.0004747246846767326)"
"('spray water', 0.0004746384896926221)"
"('first bought', 0.0004746160319279134)"
"('got twins', 0.0004737818041248819)"
"('twins go', 0.0004735961712724634)"
"('gaskets work', 0.0004735540976497382)"
"('parents', 0.00047276011231293463)"
"('first start', 0.0004716887000642526)"
"('perfect size', 0.00047122702319026417)"
"('bought one', 0.00047099355719307484)"
"('kind', 0.00047088533916712525)"
"('plastic hole', 0.00046974283551114827)"
"('narrow hole', 0.0004691749633769761)"
"('chance', 0.00046916939891809763)"
"('instructions', 0.00046895825001189975)"
"('one takes', 0.0004678465914099014)"
"('cylinder', 0.00046754070891709095)"
"('hope everyone gives', 0.00046674651455279917)"
"('foam lining', 0.00046656486009776107)"
"('tiny hole', 0.0004663187280624721)"
"('cloth items', 0.00046352850448420273)"
"('safety issue', 0.0004633998090964056)"
"('disposal system', 0.0004632247997993146)"
"('getting one', 0.0004630763666440869)"
"('dirty ones', 0.0004630470990661091)"
"('clorox wipes cleaning', 0.00046286448122013997)"
"('still gets use', 0.00046259854903389565)"
"('first opening', 0.00046239998119395286)"
"('access lid locks', 0.0004613253468355417)"
"('toddlers', 0.00046114011298330833)"
"('gaskets need', 0.0004609435674205356)"
"('job containing', 0.0004606239788601118)"
"('finger nails', 0.00046046548229232)"
"('still works great', 0.00045883519437561645)"
"('one word', 0.00045869770734205867)"
"('simple design', 0.0004580412284655874)"
"('garage sale', 0.00045774283854357884)"
"('cats litter box', 0.00045755383776502757)"
"('refill cartridges', 0.0004566349610809757)"
"('job like', 0.00045556381573844855)"
"('let air', 0.0004550925214114825)"
"('one heck', 0.00045499678182365523)"
"('help get', 0.00045466960044236585)"
"('one stinky', 0.0004545780776093199)"
"('control', 0.0004543070450082955)"
"('find one', 0.00045373755883496925)"
"('one like', 0.0004536324037027134)"
"('like one', 0.0004536324037027134)"
"('name brand', 0.00045330553347519987)"
"('gallons one', 0.0004530094595667918)"
"('get right', 0.00045286693811236504)"
"('one fingernail', 0.0004517263586036193)"
"('one big', 0.0004503955151217653)"
"('poops get', 0.00044982578725704715)"
"('keep one', 0.0004494934360775144)"
"('older one', 0.0004491168214725347)"
"('apart', 0.0004491002490819879)"
"('ones', 0.00044882389550581517)"
"('broke', 0.00044861989801962354)"
"('buy refils', 0.0004484119111140733)"
"('get good', 0.00044784906802905467)"
"('plastic bags.i love', 0.00044729621778023695)"
"('cause one', 0.00044550406282104193)"
"('life', 0.0004443957286838266)"
"('one starts', 0.0004440270768385043)"
"('hassle getting', 0.00044319938215031576)"
"('believe everything', 0.0004428868305773829)"
"('formula', 0.00044201696129324725)"
"('hang', 0.0004418440994427968)"
"('champs disposal chute', 0.0004416296607826404)"
"('poo get', 0.000441412378800382)"
"('soda right', 0.00044120939495022213)"
"('needs one', 0.00043875354309197705)"
"('piston', 0.00043581455455605854)"
"('someone bought', 0.0004355740486624214)"
"('twins like', 0.00043476107286441034)"
"('model', 0.00043359727068694083)"
"('keep buying', 0.00043230106628341545)"
"('drum apart', 0.0004313538524515104)"
"('dont get', 0.00043007711247969733)"
"('buying tons', 0.00043001539549555206)"
"('get warm', 0.0004294452051827841)"
"('done everything', 0.00042850094038215247)"
"('neat system', 0.0004280273367844808)"
"('brand', 0.0004278966002985672)"
"('great job keeping', 0.00042778302042921105)"
"('mother got', 0.00042686891028884594)"
"('ok keeping', 0.0004259852836073817)"
"('hassle free', 0.00042583049431777284)"
"('system like', 0.0004257074705591597)"
"('good review', 0.00042541146955463736)"
"('means everything', 0.00042455742354440213)"
"('capacity', 0.0004237831396323596)"
"('spray', 0.00042343928954844247)"
"('purpose', 0.00042175147372206526)"
"('need take', 0.0004216445696847989)"
"('worth', 0.0004215198321222768)"
"('buy replacement items', 0.0004215122633801165)"
"('avoid buying', 0.00041996029633030257)"
"('weight', 0.00041923008548269117)"
"('fun', 0.00041883359279436245)"
"('simple system', 0.00041761097347597643)"
"('apart great', 0.00041678898672388)"
"('great ones', 0.00041665080993579363)"
"('holds', 0.00041523801757051065)"
"('wrap everything', 0.0004152161097159552)"
"('get back', 0.00041499231435400885)"
"('get older', 0.00041447780690773075)"
"('drum', 0.00041360745582103285)"
"('trick', 0.00041360178387369706)"
"('get tons', 0.0004125687507248472)"
"('disposal tube get', 0.00041159233893540834)"
"('good size', 0.00041126905225705434)"
"('still get', 0.00041117873460282274)"
"('items', 0.0004109398538272607)"
"('sure buy', 0.00041045580039792383)"
"('work much', 0.00041030452250682243)"
"('much work', 0.00041030452250682243)"
"('downstairs half', 0.0004097648144262487)"
"('liners', 0.0004093739827484749)"
"('boy', 0.0004092959169936912)"
"('work like', 0.0004091635870028721)"
"('bedroom stinks', 0.0004091433243739868)"
"('twisting till', 0.0004083872994050323)"
"('reviewer', 0.00040811933365220263)"
"('makes mom', 0.0004079442781794102)"
"('nice', 0.00040770147513373184)"
"('dont need', 0.0004076367801154574)"
"('notice', 0.00040754886205462504)"
"('go buy', 0.00040749113393327664)"
"('stick', 0.00040703249442101844)"
"('loose anyway', 0.0004063153800723516)"
"('alot longer', 0.0004059633983657546)"
"('one tiny complaint', 0.0004058325393183568)"
"('sure everything', 0.0004056562062557085)"
"('great capacity', 0.00040413043199906585)"
"('get babiesrus', 0.0004035055585729878)"
"('someone needs', 0.0004033340345613237)"
"('set everything', 0.0004019692474130876)"
"('bathroom', 0.00040195221995461715)"
"('still work', 0.0004013489324677854)"
"('nails opening', 0.000401122810392041)"
"('think helps', 0.0004007188487215215)"
"('cartridges', 0.00039817757689433996)"
"('good buy', 0.00039751171441636886)"
"('super cheap', 0.0003970593863691488)"
"('oder', 0.0003964533714575871)"
"('mouth size', 0.0003957291193031297)"
"('course means much', 0.0003956392739371939)"
"('advice', 0.0003944037436060491)"
"('disposal design makes', 0.0003927519594047842)"
"('good side', 0.00039269798355028246)"
"('sister got', 0.00038975843931054213)"
"('bleach water', 0.00038881808855139005)"
"('still need', 0.0003887384022385828)"
"('big complaints', 0.0003872761248532505)"
"('kid', 0.0003864414103461892)"
"('air', 0.0003860414153431931)"
"('great', 0.0003844777243657721)"
"('everything went', 0.00038415904118911935)"
"('need costlyrefills', 0.00038368590164025967)"
"('area downstairs', 0.000383283148595748)"
"('buy stock', 0.00038318598796078206)"
"('read review', 0.0003821842493325961)"
"('side walls', 0.0003809123007781516)"
"('uses', 0.0003799562258619653)"
"('products instead', 0.00037827185606795547)"
"('control seems', 0.00037805156249925444)"
"('holds alot', 0.00037615804739577754)"
"('mom needs', 0.0003758354645282543)"
"('great experience', 0.00037551560545505186)"
"('ease', 0.00037399142150058135)"
"('chamber holds', 0.00037323312700678274)"
"('older children', 0.0003729834086233986)"
"('nice feature', 0.00037249546227979976)"
"('stench', 0.0003719353246130505)"
"('family', 0.0003718622057968768)"
"('spray everytime', 0.00037166339300951604)"
"('couple', 0.0003709700152879018)"
"('changing throw', 0.00037026542573636824)"
"('piston seems', 0.0003688053172731359)"
"('dc', 0.0003687150125700927)"
"('buy like', 0.00036865603552522363)"
"('big issue', 0.00036832288957455386)"
"('tabs', 0.00036715183946476075)"
"('experience', 0.0003665534865443316)"
"('plastic container', 0.0003650525314975535)"
"('line', 0.0003635528242283815)"
"('tape', 0.0003628816839091035)"
"('capacity seems', 0.00036278960981128645)"
"('knobs let', 0.00036198457307753165)"
"('device', 0.000361432275164038)"
"('manufacturer', 0.00036106518947836343)"
"('went upstairs', 0.00036095048949409697)"
"('great feature', 0.00036088358689581986)"
"('still buy', 0.00036084138099013694)"
"('refill cartridges start', 0.000359541142657005)"
"('recommend', 0.0003589570841731778)"
"('helps keep', 0.0003580026690566363)"
"('convenience changing', 0.00035783097263576274)"
"('help throw', 0.00035717471377916406)"
"('ability', 0.00035698742855286026)"
"('awesome disposal system', 0.00035620571923925703)"
